order_item_id,order_id,product_id,quantity,unit_price,discount_pct,customer_id,order_date,order_status,sales_channel,customer_name,email,city,state,signup_date,customer_segment,product_name,category,brand,cost_price,list_price,gross,discount,net,cost,profit,margin_pct
20001,10001,1,1,450,0,1,2026-01-01,Placed,Web,Customer 1,customer1@example.com,Chennai,Tamil Nadu,2026-01-04,Premium,Product 1,Electronics,Aster,217.0,288.61,450,0.0,450.0,217.0,233.0,51.78
20002,10002,8,2,587,5,2,2026-02-06,Paid,Mobile,Customer 2,customer2@example.com,Bengaluru,Karnataka,2026-02-07,Corporate,Product 8,Sports,Cobalt,476.0,595.0,1174,58.7,1115.3,952.0,163.29999999999995,14.64
20003,10003,15,3,724,10,3,2026-03-11,Shipped,Store,Customer 3,customer3@example.com,Hyderabad,Telangana,2026-03-10,Standard,Product 15,Fashion,Evergreen,735.0,1095.15,2172,217.20000000000002,1954.8,2205.0,-250.20000000000005,-12.8
20004,10004,22,4,861,15,4,2026-04-16,Delivered,Web,Customer 4,customer4@example.com,Mumbai,Maharashtra,2026-04-13,Premium,Product 22,Home,BluePeak,994.0,1401.54,3444,516.6,2927.4,3976.0,-1048.6,-35.82
20006,10006,36,1,1135,0,6,2026-06-26,Placed,Store,Customer 6,customer6@example.com,Kochi,Kerala,2026-06-19,Standard,Product 36,Electronics,Aster,1512.0,1890.0,1135,0.0,1135.0,1512.0,-377.0,-33.22
20007,10007,43,2,1272,5,7,2026-07-04,Paid,Web,Customer 7,customer7@example.com,Chennai,Tamil Nadu,2026-07-22,Premium,Product 43,Sports,Cobalt,1771.0,2638.79,2544,127.2,2416.8,3542.0,-1125.1999999999998,-46.56
20008,10008,50,3,1409,10,8,2026-08-09,Shipped,Mobile,Customer 8,customer8@example.com,Bengaluru,Karnataka,2026-08-25,Corporate,Product 50,Fashion,Evergreen,2030.0,2862.3,4227,422.70000000000005,3804.3,6090.0,-2285.7,-60.08
20009,10009,7,4,1546,15,9,2026-01-14,Delivered,Store,Customer 9,customer9@example.com,Hyderabad,Telangana,2026-01-01,Standard,Product 7,Home,BluePeak,439.0,654.11,6184,927.5999999999999,5256.4,1756.0,3500.3999999999996,66.59
20011,10011,21,1,1820,0,11,2026-03-24,Placed,Mobile,Customer 11,customer11@example.com,Pune,Maharashtra,2026-03-07,Corporate,Product 21,Electronics,Aster,957.0,1272.81,1820,0.0,1820.0,957.0,863.0,47.42
20012,10012,28,2,1957,5,12,2026-04-02,Paid,Store,Customer 12,customer12@example.com,Kochi,Kerala,2026-04-10,Standard,Product 28,Sports,Cobalt,1216.0,1520.0,3914,195.70000000000002,3718.3,2432.0,1286.3000000000002,34.59
20013,10013,35,3,2094,10,13,2026-05-07,Shipped,Web,Customer 13,customer13@example.com,Chennai,Tamil Nadu,2026-05-13,Premium,Product 35,Fashion,Evergreen,1475.0,2197.75,6282,628.2,5653.8,4425.0,1228.8000000000002,21.73
20014,10014,42,4,2231,15,14,2026-06-12,Delivered,Mobile,Customer 14,customer14@example.com,Bengaluru,Karnataka,2026-06-16,Corporate,Product 42,Home,BluePeak,1734.0,2444.94,8924,1338.6,7585.4,6936.0,649.3999999999996,8.56
